[2024.06.21 00:00:00 - info ] Trading session ???????0900[FD0900] state reset
[2024.06.21 00:00:00 - info ] Trading session ???????0915[FD0915] state reset
[2024.06.21 00:00:00 - info ] Trading session ???????0930[SD0930] state reset
[2024.06.21 00:00:01 - info ] 1053400 ticks received from exchange SHFE
[2024.06.21 00:00:03 - info ] 216400 ticks received from exchange INE
[2024.06.21 00:00:03 - info ] 1053600 ticks received from exchange SHFE
[2024.06.21 00:00:05 - info ] 1053800 ticks received from exchange SHFE
[2024.06.21 00:00:07 - info ] 1054000 ticks received from exchange SHFE
[2024.06.21 00:00:11 - info ] 1054200 ticks received from exchange SHFE
[2024.06.21 00:00:13 - info ] 216600 ticks received from exchange INE
[2024.06.21 00:00:13 - info ] 1054400 ticks received from exchange SHFE
[2024.06.21 00:00:16 - info ] 1054600 ticks received from exchange SHFE
[2024.06.21 00:00:19 - info ] 1054800 ticks received from exchange SHFE
[2024.06.21 00:00:21 - info ] 1055000 ticks received from exchange SHFE
[2024.06.21 00:00:24 - info ] 216800 ticks received from exchange INE
[2024.06.21 00:00:25 - info ] 1055200 ticks received from exchange SHFE
[2024.06.21 00:00:28 - info ] 1055400 ticks received from exchange SHFE
[2024.06.21 00:00:31 - info ] 1055600 ticks received from exchange SHFE
[2024.06.21 00:00:34 - info ] 1055800 ticks received from exchange SHFE
[2024.06.21 00:00:37 - info ] 1056000 ticks received from exchange SHFE
[2024.06.21 00:00:38 - info ] 217000 ticks received from exchange INE
[2024.06.21 00:00:40 - info ] 1056200 ticks received from exchange SHFE
[2024.06.21 00:00:43 - info ] 1056400 ticks received from exchange SHFE
[2024.06.21 00:00:46 - info ] 1056600 ticks received from exchange SHFE
[2024.06.21 00:00:46 - debug] RT tick block of SHFE.sn2411 resized to 12500
[2024.06.21 00:00:47 - info ] 217200 ticks received from exchange INE
[2024.06.21 00:00:50 - info ] 1056800 ticks received from exchange SHFE
[2024.06.21 00:00:53 - info ] 1057000 ticks received from exchange SHFE
[2024.06.21 00:00:56 - info ] 1057200 ticks received from exchange SHFE
[2024.06.21 00:00:59 - info ] 1057400 ticks received from exchange SHFE
[2024.06.21 00:01:01 - info ] 217400 ticks received from exchange INE
[2024.06.21 00:01:02 - info ] 1057600 ticks received from exchange SHFE
[2024.06.21 00:01:06 - info ] 1057800 ticks received from exchange SHFE
[2024.06.21 00:01:09 - info ] 1058000 ticks received from exchange SHFE
[2024.06.21 00:01:12 - info ] 1058200 ticks received from exchange SHFE
[2024.06.21 00:01:14 - info ] 217600 ticks received from exchange INE
[2024.06.21 00:01:15 - info ] 1058400 ticks received from exchange SHFE
[2024.06.21 00:01:18 - info ] 1058600 ticks received from exchange SHFE
[2024.06.21 00:01:21 - info ] 1058800 ticks received from exchange SHFE
[2024.06.21 00:01:24 - info ] 1059000 ticks received from exchange SHFE
[2024.06.21 00:01:26 - info ] 1059200 ticks received from exchange SHFE
[2024.06.21 00:01:29 - info ] 217800 ticks received from exchange INE
[2024.06.21 00:01:29 - info ] 1059400 ticks received from exchange SHFE
[2024.06.21 00:01:33 - info ] 1059600 ticks received from exchange SHFE
[2024.06.21 00:01:38 - info ] 1059800 ticks received from exchange SHFE
[2024.06.21 00:01:40 - info ] 1060000 ticks received from exchange SHFE
[2024.06.21 00:01:43 - info ] 1060200 ticks received from exchange SHFE
[2024.06.21 00:01:43 - info ] 218000 ticks received from exchange INE
[2024.06.21 00:01:45 - info ] 1060400 ticks received from exchange SHFE
[2024.06.21 00:01:47 - info ] 1060600 ticks received from exchange SHFE
[2024.06.21 00:01:50 - info ] 1060800 ticks received from exchange SHFE
[2024.06.21 00:01:52 - info ] 1061000 ticks received from exchange SHFE
[2024.06.21 00:01:55 - info ] 1061200 ticks received from exchange SHFE
[2024.06.21 00:01:58 - info ] 218200 ticks received from exchange INE
[2024.06.21 00:01:58 - info ] 1061400 ticks received from exchange SHFE
[2024.06.21 00:02:01 - info ] 1061600 ticks received from exchange SHFE
[2024.06.21 00:02:04 - info ] 1061800 ticks received from exchange SHFE
[2024.06.21 00:02:07 - info ] 1062000 ticks received from exchange SHFE
[2024.06.21 00:02:11 - info ] 1062200 ticks received from exchange SHFE
[2024.06.21 00:02:13 - info ] 218400 ticks received from exchange INE
[2024.06.21 00:02:15 - info ] 1062400 ticks received from exchange SHFE
[2024.06.21 00:02:19 - info ] 1062600 ticks received from exchange SHFE
[2024.06.21 00:02:24 - info ] 1062800 ticks received from exchange SHFE
[2024.06.21 00:02:27 - info ] 1063000 ticks received from exchange SHFE
[2024.06.21 00:02:28 - info ] 218600 ticks received from exchange INE
[2024.06.21 00:02:29 - info ] 1063200 ticks received from exchange SHFE
[2024.06.21 00:02:31 - info ] 1063400 ticks received from exchange SHFE
[2024.06.21 00:02:35 - info ] 1063600 ticks received from exchange SHFE
[2024.06.21 00:02:37 - info ] 1063800 ticks received from exchange SHFE
[2024.06.21 00:02:40 - info ] 1064000 ticks received from exchange SHFE
[2024.06.21 00:02:43 - info ] 1064200 ticks received from exchange SHFE
[2024.06.21 00:02:43 - info ] 218800 ticks received from exchange INE
[2024.06.21 00:02:46 - info ] 1064400 ticks received from exchange SHFE
[2024.06.21 00:02:49 - info ] 1064600 ticks received from exchange SHFE
[2024.06.21 00:02:52 - info ] 1064800 ticks received from exchange SHFE
[2024.06.21 00:02:55 - info ] 1065000 ticks received from exchange SHFE
[2024.06.21 00:02:58 - info ] 1065200 ticks received from exchange SHFE
[2024.06.21 00:03:00 - info ] 219000 ticks received from exchange INE
[2024.06.21 00:03:02 - info ] 1065400 ticks received from exchange SHFE
[2024.06.21 00:03:04 - info ] 1065600 ticks received from exchange SHFE
[2024.06.21 00:03:08 - info ] 1065800 ticks received from exchange SHFE
[2024.06.21 00:03:12 - info ] 1066000 ticks received from exchange SHFE
[2024.06.21 00:03:13 - info ] 219200 ticks received from exchange INE
[2024.06.21 00:03:15 - info ] 1066200 ticks received from exchange SHFE
[2024.06.21 00:03:19 - info ] 1066400 ticks received from exchange SHFE
[2024.06.21 00:03:24 - info ] 1066600 ticks received from exchange SHFE
[2024.06.21 00:03:25 - info ] 219400 ticks received from exchange INE
[2024.06.21 00:03:28 - info ] 1066800 ticks received from exchange SHFE
[2024.06.21 00:03:31 - info ] 1067000 ticks received from exchange SHFE
[2024.06.21 00:03:34 - info ] 1067200 ticks received from exchange SHFE
[2024.06.21 00:03:37 - info ] 1067400 ticks received from exchange SHFE
[2024.06.21 00:03:40 - info ] 1067600 ticks received from exchange SHFE
[2024.06.21 00:03:42 - info ] 219600 ticks received from exchange INE
[2024.06.21 00:03:44 - info ] 1067800 ticks received from exchange SHFE
[2024.06.21 00:03:48 - info ] 1068000 ticks received from exchange SHFE
[2024.06.21 00:03:52 - info ] 1068200 ticks received from exchange SHFE
[2024.06.21 00:03:56 - info ] 1068400 ticks received from exchange SHFE
[2024.06.21 00:04:00 - info ] 1068600 ticks received from exchange SHFE
[2024.06.21 00:04:01 - info ] 219800 ticks received from exchange INE
[2024.06.21 00:04:03 - info ] 1068800 ticks received from exchange SHFE
[2024.06.21 00:04:06 - info ] 1069000 ticks received from exchange SHFE
[2024.06.21 00:04:10 - info ] 1069200 ticks received from exchange SHFE
[2024.06.21 00:04:13 - info ] 1069400 ticks received from exchange SHFE
[2024.06.21 00:04:14 - info ] 220000 ticks received from exchange INE
[2024.06.21 00:04:18 - info ] 1069600 ticks received from exchange SHFE
[2024.06.21 00:04:22 - info ] 1069800 ticks received from exchange SHFE
[2024.06.21 00:04:25 - info ] 1070000 ticks received from exchange SHFE
[2024.06.21 00:04:28 - info ] 1070200 ticks received from exchange SHFE
[2024.06.21 00:04:31 - info ] 220200 ticks received from exchange INE
[2024.06.21 00:04:31 - info ] 1070400 ticks received from exchange SHFE
[2024.06.21 00:04:35 - info ] 1070600 ticks received from exchange SHFE
[2024.06.21 00:04:39 - info ] 1070800 ticks received from exchange SHFE
[2024.06.21 00:04:42 - info ] 1071000 ticks received from exchange SHFE
[2024.06.21 00:04:44 - info ] 1071200 ticks received from exchange SHFE
[2024.06.21 00:04:46 - info ] 220400 ticks received from exchange INE
[2024.06.21 00:04:47 - info ] 1071400 ticks received from exchange SHFE
[2024.06.21 00:04:51 - info ] 1071600 ticks received from exchange SHFE
[2024.06.21 00:04:56 - info ] 1071800 ticks received from exchange SHFE
[2024.06.21 00:04:59 - info ] 1072000 ticks received from exchange SHFE
[2024.06.21 00:05:01 - info ] 220600 ticks received from exchange INE
[2024.06.21 00:05:01 - info ] 1072200 ticks received from exchange SHFE
[2024.06.21 00:05:04 - info ] 1072400 ticks received from exchange SHFE
[2024.06.21 00:05:08 - info ] 1072600 ticks received from exchange SHFE
[2024.06.21 00:05:11 - info ] 1072800 ticks received from exchange SHFE
[2024.06.21 00:05:13 - info ] 220800 ticks received from exchange INE
[2024.06.21 00:05:15 - info ] 1073000 ticks received from exchange SHFE
[2024.06.21 00:05:20 - info ] 1073200 ticks received from exchange SHFE
[2024.06.21 00:05:24 - info ] 1073400 ticks received from exchange SHFE
[2024.06.21 00:05:28 - info ] 1073600 ticks received from exchange SHFE
[2024.06.21 00:05:28 - info ] 221000 ticks received from exchange INE
[2024.06.21 00:05:31 - info ] 1073800 ticks received from exchange SHFE
[2024.06.21 00:05:34 - info ] 1074000 ticks received from exchange SHFE
[2024.06.21 00:05:38 - info ] 1074200 ticks received from exchange SHFE
[2024.06.21 00:05:41 - info ] 1074400 ticks received from exchange SHFE
[2024.06.21 00:05:44 - info ] 1074600 ticks received from exchange SHFE
[2024.06.21 00:05:46 - info ] 221200 ticks received from exchange INE
[2024.06.21 00:05:48 - info ] 1074800 ticks received from exchange SHFE
[2024.06.21 00:05:51 - info ] 1075000 ticks received from exchange SHFE
[2024.06.21 00:05:54 - info ] 1075200 ticks received from exchange SHFE
[2024.06.21 00:05:57 - info ] 1075400 ticks received from exchange SHFE
[2024.06.21 00:06:00 - info ] 1075600 ticks received from exchange SHFE
[2024.06.21 00:06:00 - info ] 221400 ticks received from exchange INE
[2024.06.21 00:06:03 - info ] 1075800 ticks received from exchange SHFE
[2024.06.21 00:06:06 - info ] 1076000 ticks received from exchange SHFE
[2024.06.21 00:06:10 - info ] 1076200 ticks received from exchange SHFE
[2024.06.21 00:06:13 - info ] 1076400 ticks received from exchange SHFE
[2024.06.21 00:06:16 - info ] 221600 ticks received from exchange INE
[2024.06.21 00:06:17 - info ] 1076600 ticks received from exchange SHFE
[2024.06.21 00:06:20 - info ] 1076800 ticks received from exchange SHFE
[2024.06.21 00:06:24 - info ] 1077000 ticks received from exchange SHFE
[2024.06.21 00:06:27 - info ] 1077200 ticks received from exchange SHFE
[2024.06.21 00:06:31 - info ] 1077400 ticks received from exchange SHFE
[2024.06.21 00:06:31 - info ] 221800 ticks received from exchange INE
[2024.06.21 00:06:34 - info ] 1077600 ticks received from exchange SHFE
[2024.06.21 00:06:37 - info ] 1077800 ticks received from exchange SHFE
[2024.06.21 00:06:41 - info ] 1078000 ticks received from exchange SHFE
[2024.06.21 00:06:45 - info ] 1078200 ticks received from exchange SHFE
[2024.06.21 00:06:46 - info ] 222000 ticks received from exchange INE
[2024.06.21 00:06:49 - info ] 1078400 ticks received from exchange SHFE
[2024.06.21 00:06:52 - info ] 1078600 ticks received from exchange SHFE
[2024.06.21 00:06:56 - info ] 1078800 ticks received from exchange SHFE
[2024.06.21 00:07:00 - info ] 222200 ticks received from exchange INE
[2024.06.21 00:07:00 - info ] 1079000 ticks received from exchange SHFE
[2024.06.21 00:07:04 - info ] 1079200 ticks received from exchange SHFE
[2024.06.21 00:07:08 - info ] 1079400 ticks received from exchange SHFE
[2024.06.21 00:07:13 - info ] 1079600 ticks received from exchange SHFE
[2024.06.21 00:07:13 - info ] 222400 ticks received from exchange INE
[2024.06.21 00:07:17 - info ] 1079800 ticks received from exchange SHFE
[2024.06.21 00:07:22 - info ] 1080000 ticks received from exchange SHFE
[2024.06.21 00:07:27 - info ] 1080200 ticks received from exchange SHFE
[2024.06.21 00:07:27 - info ] 222600 ticks received from exchange INE
[2024.06.21 00:07:31 - info ] 1080400 ticks received from exchange SHFE
[2024.06.21 00:07:36 - info ] 1080600 ticks received from exchange SHFE
[2024.06.21 00:07:42 - info ] 1080800 ticks received from exchange SHFE
[2024.06.21 00:07:44 - info ] 222800 ticks received from exchange INE
[2024.06.21 00:07:47 - info ] 1081000 ticks received from exchange SHFE
[2024.06.21 00:07:51 - info ] 1081200 ticks received from exchange SHFE
[2024.06.21 00:07:54 - info ] 1081400 ticks received from exchange SHFE
[2024.06.21 00:07:57 - info ] 223000 ticks received from exchange INE
[2024.06.21 00:07:58 - info ] 1081600 ticks received from exchange SHFE
[2024.06.21 00:08:01 - info ] 1081800 ticks received from exchange SHFE
[2024.06.21 00:08:06 - info ] 1082000 ticks received from exchange SHFE
[2024.06.21 00:08:11 - info ] 1082200 ticks received from exchange SHFE
[2024.06.21 00:08:15 - info ] 223200 ticks received from exchange INE
[2024.06.21 00:08:16 - info ] 1082400 ticks received from exchange SHFE
[2024.06.21 00:08:21 - info ] 1082600 ticks received from exchange SHFE
[2024.06.21 00:08:25 - info ] 1082800 ticks received from exchange SHFE
[2024.06.21 00:08:28 - info ] 223400 ticks received from exchange INE
[2024.06.21 00:08:29 - info ] 1083000 ticks received from exchange SHFE
[2024.06.21 00:08:34 - info ] 1083200 ticks received from exchange SHFE
[2024.06.21 00:08:38 - info ] 1083400 ticks received from exchange SHFE
[2024.06.21 00:08:41 - info ] 1083600 ticks received from exchange SHFE
[2024.06.21 00:08:43 - info ] 223600 ticks received from exchange INE
[2024.06.21 00:08:45 - info ] 1083800 ticks received from exchange SHFE
[2024.06.21 00:08:49 - info ] 1084000 ticks received from exchange SHFE
[2024.06.21 00:08:54 - info ] 1084200 ticks received from exchange SHFE
[2024.06.21 00:08:59 - info ] 1084400 ticks received from exchange SHFE
[2024.06.21 00:08:59 - info ] 223800 ticks received from exchange INE
[2024.06.21 00:09:02 - info ] 1084600 ticks received from exchange SHFE
[2024.06.21 00:09:04 - info ] 1084800 ticks received from exchange SHFE
