[2024.06.07 00:03:00 - info ] 895400 ticks received from exchange INE
[2024.06.07 00:03:00 - debug] RT tick block of SHFE.ag2407 resized to 15000
[2024.06.07 00:03:00 - info ] 3992600 ticks received from exchange SHFE
[2024.06.07 00:03:02 - info ] 3992800 ticks received from exchange SHFE
[2024.06.07 00:03:04 - info ] 3993000 ticks received from exchange SHFE
[2024.06.07 00:03:06 - info ] 3993200 ticks received from exchange SHFE
[2024.06.07 00:03:07 - info ] 3993400 ticks received from exchange SHFE
[2024.06.07 00:03:09 - info ] 3993600 ticks received from exchange SHFE
[2024.06.07 00:03:10 - info ] 895600 ticks received from exchange INE
[2024.06.07 00:03:11 - info ] 3993800 ticks received from exchange SHFE
[2024.06.07 00:03:13 - info ] 3994000 ticks received from exchange SHFE
[2024.06.07 00:03:15 - info ] 3994200 ticks received from exchange SHFE
[2024.06.07 00:03:16 - info ] 3994400 ticks received from exchange SHFE
[2024.06.07 00:03:17 - debug] RT tick block of SHFE.ag2505 resized to 15000
[2024.06.07 00:03:17 - debug] RT tick block of SHFE.cu2504 resized to 10000
[2024.06.07 00:03:18 - info ] 3994600 ticks received from exchange SHFE
[2024.06.07 00:03:21 - info ] 3994800 ticks received from exchange SHFE
[2024.06.07 00:03:21 - info ] 895800 ticks received from exchange INE
[2024.06.07 00:03:23 - info ] 3995000 ticks received from exchange SHFE
[2024.06.07 00:03:25 - info ] 3995200 ticks received from exchange SHFE
[2024.06.07 00:03:27 - info ] 3995400 ticks received from exchange SHFE
[2024.06.07 00:03:29 - info ] 3995600 ticks received from exchange SHFE
[2024.06.07 00:03:31 - info ] 3995800 ticks received from exchange SHFE
[2024.06.07 00:03:33 - info ] 896000 ticks received from exchange INE
[2024.06.07 00:03:33 - info ] 3996000 ticks received from exchange SHFE
[2024.06.07 00:03:35 - info ] 3996200 ticks received from exchange SHFE
[2024.06.07 00:03:35 - debug] RT tick block of SHFE.pb2409 resized to 10000
[2024.06.07 00:03:37 - info ] 3996400 ticks received from exchange SHFE
[2024.06.07 00:03:38 - info ] 3996600 ticks received from exchange SHFE
[2024.06.07 00:03:41 - info ] 3996800 ticks received from exchange SHFE
[2024.06.07 00:03:44 - info ] 3997000 ticks received from exchange SHFE
[2024.06.07 00:03:45 - info ] 896200 ticks received from exchange INE
[2024.06.07 00:03:47 - info ] 3997200 ticks received from exchange SHFE
[2024.06.07 00:03:50 - info ] 3997400 ticks received from exchange SHFE
[2024.06.07 00:03:52 - info ] 3997600 ticks received from exchange SHFE
[2024.06.07 00:03:55 - info ] 3997800 ticks received from exchange SHFE
[2024.06.07 00:03:57 - info ] 3998000 ticks received from exchange SHFE
[2024.06.07 00:03:58 - info ] 896400 ticks received from exchange INE
[2024.06.07 00:03:59 - info ] 3998200 ticks received from exchange SHFE
[2024.06.07 00:04:01 - info ] 3998400 ticks received from exchange SHFE
[2024.06.07 00:04:04 - info ] 3998600 ticks received from exchange SHFE
[2024.06.07 00:04:05 - debug] RT tick block of INE.bc2502 resized to 5000
[2024.06.07 00:04:06 - info ] 896600 ticks received from exchange INE
[2024.06.07 00:04:06 - info ] 3998800 ticks received from exchange SHFE
[2024.06.07 00:04:08 - info ] 3999000 ticks received from exchange SHFE
[2024.06.07 00:04:11 - info ] 3999200 ticks received from exchange SHFE
[2024.06.07 00:04:13 - info ] 3999400 ticks received from exchange SHFE
[2024.06.07 00:04:14 - info ] 896800 ticks received from exchange INE
[2024.06.07 00:04:15 - info ] 3999600 ticks received from exchange SHFE
[2024.06.07 00:04:17 - info ] 3999800 ticks received from exchange SHFE
[2024.06.07 00:04:20 - info ] 4000000 ticks received from exchange SHFE
[2024.06.07 00:04:21 - info ] 897000 ticks received from exchange INE
[2024.06.07 00:04:22 - info ] 4000200 ticks received from exchange SHFE
[2024.06.07 00:04:24 - info ] 4000400 ticks received from exchange SHFE
[2024.06.07 00:04:27 - info ] 4000600 ticks received from exchange SHFE
[2024.06.07 00:04:29 - info ] 4000800 ticks received from exchange SHFE
[2024.06.07 00:04:32 - info ] 4001000 ticks received from exchange SHFE
[2024.06.07 00:04:32 - info ] 897200 ticks received from exchange INE
[2024.06.07 00:04:34 - info ] 4001200 ticks received from exchange SHFE
[2024.06.07 00:04:37 - info ] 4001400 ticks received from exchange SHFE
[2024.06.07 00:04:39 - info ] 4001600 ticks received from exchange SHFE
[2024.06.07 00:04:41 - info ] 4001800 ticks received from exchange SHFE
[2024.06.07 00:04:43 - info ] 897400 ticks received from exchange INE
[2024.06.07 00:04:44 - info ] 4002000 ticks received from exchange SHFE
[2024.06.07 00:04:46 - info ] 4002200 ticks received from exchange SHFE
