code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
CFFEX.IF.HOT,LONG,201103041430,3288.4,201103081125,3332.2,2,26280,38640,-5880,228609,DT_EnterLong,DT_ExitLong,11491,11580
CFFEX.IF.HOT,SHORT,201103081415,3323.8,201103210930,3252.2,2,42960,111840,-28800,271478,DT_EnterShort,DT_ExitShort,11596,12043
CFFEX.IF.HOT,SHORT,201103221015,3184.8,201103251010,3287.2,2,-61440,1680,-61320,209949,DT_EnterShort,DT_ExitShort,12106,12267
CFFEX.IF.HOT,LONG,201104081000,3328,201104141350,3368.2,2,24120,41040,-14280,233977,DT_EnterLong,DT_ExitLong,12697,12941
CFFEX.IF.HOT,SHORT,201104141430,3360.4,201104150955,3379.6,2,-11520,3240,-15240,222364,DT_EnterShort,DT_ExitShort,12949,12966
CFFEX.IF.HOT,SHORT,201104201320,3308.6,201104221025,3331.8,2,-13920,7440,-21840,208352,DT_EnterShort,DT_ExitShort,13151,13242
CFFEX.IF.HOT,SHORT,201104221335,3306.4,201105101030,3148.8,2,94560,129120,-5280,302823,DT_EnterShort,DT_ExitShort,13262,13837
CFFEX.IF.HOT,SHORT,201105250935,3006.4,201105311405,2995.2,2,6720,27720,-18360,309460,DT_EnterShort,DT_ExitShort,14420,14672
CFFEX.IF.HOT,SHORT,201106070925,2975.4,201106071425,2998.2,2,-13680,1200,-14400,295698,DT_EnterShort,DT_ExitShort,14850,14892
CFFEX.IF.HOT,SHORT,201106081010,2964.6,201106131400,2943.4,2,12720,27840,-30240,308336,DT_EnterShort,DT_ExitShort,14913,15103
CFFEX.IF.HOT,SHORT,201106151115,2978.4,201106201425,2886.2,2,55320,65640,-1440,363575,DT_EnterShort,DT_ExitShort,15196,15378
CFFEX.IF.HOT,SHORT,201106271055,3041,201107040925,3082,2,-24600,19440,-28800,338891,DT_EnterShort,DT_ExitShort,15624,15876
CFFEX.IF.HOT,SHORT,201107060945,3106.8,201107070925,3140.2,2,-20040,9240,-24000,318765,DT_EnterShort,DT_ExitShort,15988,16038
CFFEX.IF.HOT,LONG,201107081115,3128.8,201107110925,3099.8,2,-17400,3120,-20040,301279,DT_EnterLong,DT_ExitLong,16114,16146
CFFEX.IF.HOT,SHORT,201107211430,3073.2,201107281455,2986.4,2,52080,70440,-14040,353275,DT_EnterShort,DT_ExitShort,16621,16896
CFFEX.IF.HOT,LONG,201107291415,2993.8,201108011410,2981.4,2,-7440,6000,-15360,345753,DT_EnterLong,DT_ExitLong,16942,16995
CFFEX.IF.HOT,SHORT,201108020925,2960.2,201108021425,2949.6,2,6360,21480,-1200,352031,DT_EnterShort,DT_ExitShort,17010,17052
CFFEX.IF.HOT,SHORT,201108050925,2883,201108151335,2889.2,2,-3720,107520,-21600,348231,DT_EnterShort,DT_ExitShort,17172,17528
CFFEX.IF.HOT,LONG,201108170925,2902.8,201109011125,2835.2,2,-40560,7920,-82440,307592,DT_EnterLong,DT_ExitLong,17604,18222
CFFEX.IF.HOT,SHORT,201109021015,2818.6,201109071125,2762.8,2,33480,63840,-720,340995,DT_EnterShort,DT_ExitShort,18262,18438
CFFEX.IF.HOT,LONG,201109081405,2786,201109081425,2766.8,2,-11520,480,-14280,329398,DT_EnterLong,DT_ExitLong,18506,18510
CFFEX.IF.HOT,LONG,201109090935,2790.8,201109191445,2682,2,-65280,8520,-70440,264043,DT_EnterLong,DT_ExitLong,18524,18838
CFFEX.IF.HOT,LONG,201109201305,2686.8,201109301055,2593,2,-56280,58920,-62520,207690,DT_EnterLong,DT_ExitLong,18872,19296
CFFEX.IF.HOT,LONG,201110121020,2593.4,201110191305,2584,2,-5640,57960,-7560,201979,DT_EnterLong,DT_ExitLong,19451,19736
CFFEX.IF.HOT,LONG,201110201435,2528.8,201111081015,2736.8,2,124800,159120,-10440,326706,DT_EnterLong,DT_ExitLong,19808,20476
CFFEX.IF.HOT,LONG,201111090950,2761.8,201111090955,2747,2,-8880,3120,-10680,317750,DT_EnterLong,DT_ExitLong,20525,20526
