code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SHFE.rb.HOT,LONG,201509230005,1887,201509231500,1899,1,120,180,-100,-354.92,left_long_entry,收盘平仓,29763,29819
DCE.i.HOT,SHORT,201509230905,373.5,201509231500,377.5,1,-400,100,-550,-756.05,right_long_entry,收盘平仓,29775,29819
SHFE.rb.HOT,SHORT,201510281035,1792,201510281500,1790,1,20,80,-10,-741.81,left_short_entry,收盘平仓,31554,31583
DCE.i.HOT,LONG,201510281035,362.5,201510281500,357.5,1,-500,50,-600,-1242.88,right_short_entry,收盘平仓,31554,31583
SHFE.rb.HOT,SHORT,201510300100,1788,201510301500,1783,1,50,90,-30,-1198.63,left_short_entry,收盘平仓,31724,31769
DCE.i.HOT,LONG,201510300905,363,201510301500,362.5,1,-50,50,-450,-1249.72,right_short_entry,收盘平仓,31725,31769
SHFE.rb.HOT,LONG,201511060910,1783,201511061500,1793,1,100,250,-30,-1155.36,left_long_entry,收盘平仓,32191,32234
DCE.i.HOT,SHORT,201511060910,345,201511061500,347,1,-200,100,-400,-1356.4,right_long_entry,收盘平仓,32191,32234
SHFE.rb.HOT,LONG,201512150030,1676,201512151115,1666,1,-100,100,-120,-1461.51,left_long_entry,left_long_exit,34694,34724
DCE.i.HOT,SHORT,201512150905,292.5,201512151115,293.5,1,-100,0,-550,-1562.39,right_long_entry,right_long_exit,34701,34724
SHFE.rb.HOT,SHORT,201512230055,1717,201512231500,1719,1,-20,100,-100,-1587.66,left_short_entry,收盘平仓,35257,35303
DCE.i.HOT,LONG,201512230905,305,201512231500,303.5,1,-150,100,-350,-1738.57,right_short_entry,收盘平仓,35259,35303
SHFE.rb.HOT,LONG,201512281430,1744,201512281500,1741,1,-30,20,-70,-1773.91,left_long_entry,收盘平仓,35576,35582
DCE.i.HOT,SHORT,201512281430,310,201512281500,309,1,100,200,-50,-1674.84,right_long_entry,收盘平仓,35576,35582
SHFE.rb.HOT,SHORT,201512300005,1800,201512301500,1778,1,220,290,-60,-1460.36,left_short_entry,收盘平仓,35712,35768
DCE.i.HOT,LONG,201512300905,323,201512301500,321.5,1,-150,50,-450,-1611.32,right_short_entry,收盘平仓,35724,35768
SHFE.rb.HOT,SHORT,201601090025,1749,201601111000,1765,1,-160,10,-160,-1776.69,left_short_entry,left_short_exit,36319,36338
DCE.i.HOT,LONG,201601110905,309,201601111000,309.5,1,50,150,-100,-1727.62,right_short_entry,right_short_exit,36327,36338
SHFE.rb.HOT,LONG,201601150005,1774,201601151500,1774,1,0,130,-40,-1733.02,left_long_entry,收盘平仓,36687,36743
