code,target,sigprice,gentime,usertag
DCE.i.HOT,0,543,20161222145500000,收盘平仓
SHFE.rb.HOT,1,2850,20170104090500000,left_long_entry
DCE.i.HOT,-1,536,20170104090500000,right_long_entry
SHFE.rb.HOT,0,2953,20170104145500000,收盘平仓
DCE.i.HOT,0,545.5,20170104145500000,收盘平仓
SHFE.rb.HOT,1,3471,20170220090500000,left_long_entry
DCE.i.HOT,-1,697,20170220090500000,right_long_entry
SHFE.rb.HOT,0,3545,20170220145500000,收盘平仓
DCE.i.HOT,0,711,20170220145500000,收盘平仓
SHFE.rb.HOT,1,3542,20170222090500000,left_long_entry
DCE.i.HOT,-1,722.5,20170222090500000,right_long_entry
SHFE.rb.HOT,0,3519,20170222145500000,收盘平仓
DCE.i.HOT,0,721,20170222145500000,收盘平仓
SHFE.rb.HOT,1,3562,20170302090500000,left_long_entry
DCE.i.HOT,-1,701.5,20170302090500000,right_long_entry
SHFE.rb.HOT,0,3560,20170302145500000,收盘平仓
DCE.i.HOT,0,697,20170302145500000,收盘平仓
SHFE.rb.HOT,1,3475,20170308090500000,left_long_entry
DCE.i.HOT,-1,663.5,20170308090500000,right_long_entry
SHFE.rb.HOT,0,3438,20170308145500000,收盘平仓
DCE.i.HOT,0,664,20170308145500000,收盘平仓
SHFE.rb.HOT,1,3592,20170314090500000,left_long_entry
DCE.i.HOT,-1,689,20170314090500000,right_long_entry
SHFE.rb.HOT,0,3596,20170314145500000,收盘平仓
DCE.i.HOT,0,690.5,20170314145500000,收盘平仓
SHFE.rb.HOT,1,3652,20170316090500000,left_long_entry
DCE.i.HOT,-1,727,20170316090500000,right_long_entry
SHFE.rb.HOT,0,3628,20170316145500000,收盘平仓
DCE.i.HOT,0,725.5,20170316145500000,收盘平仓
SHFE.rb.HOT,1,3058,20170327090500000,left_long_entry
DCE.i.HOT,-1,558,20170327090500000,right_long_entry
SHFE.rb.HOT,0,3056,20170327145500000,收盘平仓
DCE.i.HOT,0,549,20170327145500000,收盘平仓
SHFE.rb.HOT,1,3158,20170329090500000,left_long_entry
DCE.i.HOT,-1,569.5,20170329090500000,right_long_entry
SHFE.rb.HOT,0,3173,20170329145500000,收盘平仓
DCE.i.HOT,0,570.5,20170329145500000,收盘平仓
SHFE.rb.HOT,1,3021,20170410090500000,left_long_entry
DCE.i.HOT,-1,524.5,20170410090500000,right_long_entry
SHFE.rb.HOT,0,3002,20170410145500000,收盘平仓
DCE.i.HOT,0,521,20170410145500000,收盘平仓
SHFE.rb.HOT,1,2993,20170414090500000,left_long_entry
DCE.i.HOT,-1,516,20170414090500000,right_long_entry
SHFE.rb.HOT,0,2922,20170414145500000,收盘平仓
