[2024.07.07 10:38:45 - info ] left_close =2477, right_close = 435,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2485, right_close = 439,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2481, right_close = 430,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2550, right_close = 436,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2544, right_close = 440,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2510, right_close = 433,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2493, right_close = 429,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2474, right_close = 421,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2462, right_close = 411,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2424, right_close = 401,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2363, right_close = 384,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2349, right_close = 374,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2316, right_close = 389,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2317, right_close = 387,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2285, right_close = 377,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2270, right_close = 374,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2326, right_close = 392,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2325, right_close = 397,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2297, right_close = 389,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2321, right_close = 396,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2306, right_close = 393.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2274, right_close = 382,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2286, right_close = 386.5,beta = 2.438430882927875, c = 1348.7980475367729, mean = 17.518594391965078, up = 2.779011588750614e-14, down=-17.51859439196502
[2024.07.07 10:38:45 - info ] [20150422.0] 做多价差
[2024.07.07 10:38:45 - info ] left_close =2331, right_close = 404.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2335, right_close = 405.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2378, right_close = 419.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2413, right_close = 434.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2394, right_close = 425,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2350, right_close = 409.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2418, right_close = 429.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2430, right_close = 436,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2435, right_close = 446,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2403, right_close = 434,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2419, right_close = 441,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2419, right_close = 441.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2396, right_close = 440,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2382, right_close = 429,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2363, right_close = 422.5,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2368, right_close = 426,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2347, right_close = 422,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2338, right_close = 416,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
